system:index,DEM,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SWIR,class,slope,year,LON,
0_59_0,2452,-0.031632584,0.01128032,0.114956476,-0.20435484,1011,0.06136,0.075935,0.1168825,0.1415775,0.177795,0.1847525,0.1645675,0.1847525,0,8.224271,2013,-97.3830811,18.86421672
0_60_0,2900,0.18331692,0.42164743,0.58475447,-0.57145685,985,0.0193125,0.0288,0.0540725,0.051955,0.1982825,0.1368475,0.080665,0.1368475,0,3.0833282,2013,-97.3782302,19.04774254
0_61_0,1622,0.40335214,0.71135664,0.8848069,-0.7884727,2357,0.01910625,0.01857,0.0411475,0.021595,0.3593775,0.14953875,0.06076875,0.14953875,0,35.395874,2013,-96.9548542,19.01944561
0_62_0,1177,0.36887804,0.64687765,0.8040118,-0.7087918,2851,0.0273975,0.02792,0.055805,0.036335,0.3417225,0.1590675,0.0693625,0.1590675,0,27.552841,2013,-97.04378742,18.83295535
0_63_0,2645,-0.042406037,0.009432265,0.13762689,-0.24139667,718,0.0751925,0.0931225,0.13979,0.1718275,0.2182475,0.233565,0.2187975,0.233565,0,0.98133016,2013,-97.43051215,19.08331582
0_64_0,2901,0.07683151,0.29335567,0.5187696,-0.5453967,885,0.0322375,0.0374075,0.06158,0.06477,0.2124175,0.190445,0.11966,0.190445,0,3.0834687,2013,-97.37849969,19.05609687
0_65_0,836,0.28746414,0.5882433,0.805087,-0.74535674,2111,0.02490875,0.0264075,0.053385,0.03827375,0.33901375,0.19378625,0.09305375,0.19378625,0,3.832301,2013,-96.8855941,19.37410048
0_66_0,2453,-0.07607692,0.034136176,0.31780583,-0.39646474,780,0.058445,0.0639175,0.08314,0.099585,0.1857975,0.23274,0.1793625,0.23274,0,11.148261,2013,-97.38146413,19.25498387
0_67_0,2979,0.2561724,0.54154617,0.74657816,-0.70678246,1353,0.00812,0.01201125,0.0298175,0.02510125,0.17346375,0.10295375,0.0513775,0.10295375,0,20.494715,2013,-97.23243363,19.39539055
0_68_0,1123,0.37115538,0.6721427,0.85213554,-0.73793054,2953,0.02837375,0.02694375,0.053275,0.0275625,0.350825,0.166685,0.07537125,0.166685,0,9.166947,2013,-97.02061088,18.7906447
0_69_0,947,0.42190915,0.71642095,0.88610554,-0.76530534,2953,0.024455,0.0228325,0.0400475,0.017965,0.2920025,0.12857,0.0529725,0.12857,0,44.82446,2013,-97.03219915,18.7957651
0_70_0,2094,0.21594332,0.48914889,0.72403395,-0.67137426,1783,0.0214025,0.026435,0.0577575,0.0422475,0.269975,0.17763,0.0931225,0.17763,0,20.141733,2013,-97.15374121,19.35577485
0_71_0,838,0.238014,0.5103323,0.7458981,-0.68547684,1967,0.02842875,0.03150875,0.05650625,0.04508,0.31902125,0.2006475,0.10611625,0.2006475,0,43.338604,2013,-96.83250366,19.16739813
0_72_0,1391,0.23253436,0.44452554,0.6861791,-0.6449218,2141,0.04806375,0.04998875,0.0771175,0.0636975,0.35776875,0.2212725,0.1379475,0.2212725,0,4.0226126,2013,-97.13110366,18.88496781
0_73_0,858,0.3482463,0.67348653,0.8474735,-0.75005925,2953,0.02803,0.02732875,0.04930125,0.02941875,0.36395625,0.1742475,0.07346,0.1742475,0,18.011574,2013,-97.01764644,18.78525481
0_74_0,792,0.115412705,0.4263828,0.6836858,-0.58481437,2851,0.0391675,0.04112,0.072855,0.062625,0.301655,0.2317225,0.13528,0.2317225,0,6.714946,2013,-97.00686666,18.80816185
0_75_0,807,0.34748754,0.6189916,0.8356699,-0.7299031,2953,0.0233,0.0220625,0.050085,0.0293775,0.328165,0.170535,0.07346,0.170535,0,9.703417,2013,-97.00848363,18.79387864
0_76_0,2265,0.38134453,0.6731739,0.86005604,-0.77576923,1760,0.0078725,0.0121625,0.03104125,0.0185975,0.24710875,0.10372375,0.04594625,0.10372375,0,25.03702,2013,-97.16317352,19.33637124
0_77_0,753,0.28017342,0.513228,0.73144037,-0.65904856,2702,0.0298175,0.03804,0.07363875,0.05328875,0.35099,0.21778,0.117625,0.21778,0,3.4008832,2013,-96.83142568,19.04639506
0_78_0,2456,-0.04679052,0.08091056,0.37966278,-0.43179426,780,0.0626525,0.07192,0.0991725,0.11042,0.19336,0.236865,0.1823325,0.236865,0,4.7296357,2013,-97.37526576,19.2784299
0_79_0,1274,0.23435509,0.4532717,0.6414326,-0.589796,2577,0.05238125,0.061745,0.0860275,0.07088875,0.3212075,0.20360375,0.1240875,0.20360375,0,6.464861,2013,-97.06777244,18.89925102
0_80_0,2598,-0.039768133,0.011526801,0.11830942,-0.22709493,820,0.05078625,0.067245,0.1110525,0.14078,0.185825,0.19865375,0.17972,0.19865375,0,4.332597,2013,-97.45368868,19.03534579
0_81_0,2353,0.3528022,0.6478541,0.82477254,-0.7580879,1760,0.0123,0.0147475,0.0397175,0.02405625,0.2584525,0.15618,0.0707375,0.15618,0,40.111416,2013,-97.17206684,19.30618784
0_82_0,2146,0.2914239,0.5573856,0.72874117,-0.66702074,2012,0.0189,0.03045,0.0772,0.060645,0.3238475,0.191765,0.1098425,0.191765,0,21.569647,2013,-97.11035258,19.37463947
0_83_0,3002,0.04262319,0.14314707,0.3673457,-0.44342488,935,0.0445025,0.0581425,0.084735,0.10102875,0.21619875,0.19813125,0.160305,0.19813125,0,4.0250134,2013,-97.36529446,18.99060969
0_84_0,2367,0.07830758,0.17137918,0.29845867,-0.36918515,906,0.0484625,0.06318875,0.0977425,0.11453125,0.2183025,0.194185,0.15146375,0.194185,0,1.8543341,2013,-97.40032875,18.82136709
0_85_0,1482,0.04220736,0.29004893,0.59533453,-0.57507,1391,0.0277275,0.0354825,0.0645225,0.06125,0.2257825,0.229715,0.1333,0.229715,0,10.498153,2013,-97.23485908,18.77366654
0_86_0,2936,-0.16116719,-0.05410634,0.29712367,-0.3936189,985,0.03552375,0.0391125,0.06422,0.071645,0.19890125,0.21273375,0.160305,0.21273375,0,3.7047918,2013,-97.37418778,19.03777124
0_87_0,853,0.24094586,0.50282466,0.7061874,-0.65026563,2065,0.0295425,0.0342175,0.0715075,0.0539075,0.34131,0.20909,0.1130875,0.20909,0,2.1724615,2013,-96.86080059,19.31966257
0_88_0,2216,0.31483313,0.60173416,0.8229473,-0.74892515,2012,0.0195325,0.020055,0.045575,0.030065,0.3218125,0.161075,0.0760175,0.161075,0,18.212929,2013,-97.12301883,19.39269561
0_89_0,1229,0.37137103,0.6909907,0.8500837,-0.7425158,2953,0.0222275,0.0207425,0.0435675,0.023025,0.2792425,0.12494,0.05234,0.12494,0,12.590661,2013,-97.04594337,18.79226167
0_90_0,1880,0.39681494,0.7035373,0.8920615,-0.79177916,1783,0.02374,0.02198,0.0462625,0.0223925,0.386355,0.1620375,0.06928,0.1620375,0,38.63926,2013,-97.15158525,18.86691167
0_91_0,2439,-0.012747685,0.028598422,0.13953486,-0.24030222,829,0.06123625,0.075165,0.11216625,0.13286,0.19331875,0.184285,0.163605,0.184285,0,3.472957,2013,-97.44991576,18.90356293
0_92_0,2812,-0.034872986,0.08639847,0.29179925,-0.40424168,885,0.04838,0.0571525,0.0915,0.11222125,0.22843625,0.22702,0.186155,0.22702,0,7.3783154,2013,-97.38388958,19.07846492
0_93_0,1623,0.25564727,0.5013152,0.7696175,-0.69199425,2183,0.02441375,0.025665,0.0516525,0.042055,0.326075,0.20011125,0.11255125,0.20011125,0,25.617218,2013,-97.12194085,18.78821925
0_94_0,2576,-0.009548285,0.10934579,0.29443404,-0.36924705,651,0.0425775,0.0488475,0.07533,0.08183375,0.21668,0.1857425,0.14142625,0.1857425,0,3.4765105,2013,-97.41245601,19.14179615
0_95_0,583,0.32160315,0.55860317,0.768811,-0.69547987,3024,0.02253,0.0291575,0.055035,0.0439525,0.3049,0.17213,0.09227,0.17213,0,20.45236,2013,-96.82738327,18.84885553
0_96_0,1099,0.38047752,0.712134,0.88623774,-0.782003,2702,0.02114125,0.01905125,0.033805,0.017415,0.26211,0.1152325,0.04712875,0.1152325,0,15.639386,2013,-96.84031901,19.03642376
0_97_0,1607,0.4100434,0.7171547,0.88530123,-0.79217124,2183,0.02176,0.02066,0.043925,0.0223925,0.3708175,0.15409,0.064385,0.15409,0,25.183802,2013,-97.10577117,18.78687178
0_98_0,789,0.3391577,0.63761026,0.7902857,-0.69078094,2284,0.02856625,0.0299,0.06500375,0.0426875,0.34175,0.16014,0.07515125,0.16014,0,7.845878,2013,-96.92952171,18.85424542
0_99_0,2435,0.057041023,0.14969896,0.2991624,-0.38355595,874,0.03893375,0.0479125,0.07713125,0.08032125,0.213215,0.1641,0.1297525,0.1641,0,6.5375066,2013,-97.43212912,18.8900882
0_100_0,780,0.13551159,0.31119084,0.45703703,-0.46217206,2449,0.044475,0.05290375,0.0922425,0.0967525,0.2410175,0.19263125,0.13174625,0.19263125,0,4.041175,2013,-96.95647117,18.83753676
0_101_0,1843,0.3602333,0.67521536,0.88555086,-0.79317504,2227,0.016425,0.0195875,0.0398825,0.0208525,0.337625,0.16454,0.0661725,0.16454,0,25.35065,2013,-97.08906251,19.38568875
0_102_0,2482,-0.045633256,0.14466967,0.42560935,-0.43385202,982,0.04088625,0.0484625,0.0730475,0.07454625,0.16135,0.1877225,0.13812625,0.1877225,0,26.314257,2013,-97.38523706,18.83591979
0_103_0,2663,-0.040302593,0.004687998,0.16223852,-0.25374016,718,0.0583625,0.0739825,0.1038475,0.1267,0.2242975,0.2251225,0.208595,0.2251225,0,5.6325855,2013,-97.43347659,19.06040878
0_104_0,768,0.35771665,0.6744529,0.7899645,-0.7132394,2449,0.02581625,0.02603625,0.04787125,0.03269125,0.2793525,0.1333275,0.05502125,0.1333275,0,4.795468,2013,-96.98719355,18.81786366
0_105_0,2614,0.3564605,0.6652296,0.88227767,-0.79449517,1760,0.0144725,0.01483,0.0338875,0.0200825,0.3471125,0.1652275,0.0707375,0.1652275,0,29.421724,2013,-97.18203814,19.32235752
0_106_0,1760,0.39127147,0.6899622,0.8769286,-0.7862221,2598,0.01874875,0.01696125,0.03683,0.0204125,0.28818,0.126535,0.05306875,0.126535,0,35.60236,2013,-97.06534698,18.77824795
0_107_0,651,0.3600071,0.6663519,0.8406467,-0.7426816,2686,0.0260225,0.024235,0.04564375,0.0270125,0.282185,0.13501875,0.05861,0.13501875,0,0.92740995,2013,-96.90284175,18.81328225
0_108_0,2627,-0.041270975,0.1414877,0.46557537,-0.46463078,982,0.06136,0.072305,0.1063775,0.11394,0.252265,0.3370475,0.2469575,0.3370475,0,1.3490437,2013,-97.3679894,18.83672828
