index,clase,DEM,ENTIDAD,year,FUENTE_INF,LATITUD,LONGITUD,LAT,LON,LITOLOGIA,MUNICIPIO,Moisture,NBR,NDVI,NDWI,PRE_ANUAL,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B7,SWIR,TIPO,slope
1_0000000000000000028f,1,2906,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 56 57.413,-97 14 36.676,18.949281,-97.243521,Lahar,La Perla,0.0280788890,0.1689748320,0.404774815,-0.396929085,1114,0.03486375,0.04120250,0.06214375,0.06048000,0.14295250,0.10076750,0.13792000,Deslizamiento,13.87345235
1_00000000000000000290,1,1657,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 57 1.696,-97 8 11.131,18.950471,-97.136425,Lahar,La Perla,0.2285486610,0.4785397650,0.696413696,-0.645315647,1550,0.03311750,0.03309000,0.05506250,0.04601500,0.25355750,0.08825500,0.15230250,Deslizamiento,33.71523883
1_00000000000000000291,1,1898,Veracruz de Ignacio de la Llave,2015,Campo_2015,18 59 44.833,-97 5 15.860,18.995787,-97.087711,Lahar,Coscomatepec,0.1123506430,0.2793160080,0.458871603,-0.499635309,1775,0.06334000,0.07274500,0.09947500,0.11058500,0.27696000,0.15777500,0.22674500,Deslizamiento,26.24515028
1_00000000000000000293,1,1445,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 5 21.902,-97 1 35.672,19.089417,-97.026576,Lahar,Coscomatepec,0.3540062610,0.6314548250,0.814915001,-0.728912234,1940,0.02521125,0.02501875,0.04146375,0.02730125,0.28259750,0.06210250,0.12960125,Deslizamiento,25.24360796
1_00000000000000000294,1,900,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 5 4.744,-96 52 10.376,19.084651,-96.869549,Lutita-Caliza,Tepatlaxco,0.2460355460,0.4956651330,0.693873882,-0.653805733,1925,0.02761750,0.02877250,0.06078250,0.05473250,0.31779750,0.09947500,0.18621000,Deslizamiento,22.09990629
1_00000000000000000295,1,2750,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 6 38.404,-97 12 35.509,19.110668,-97.209864,Andesita-Dacita,Calcahualco,0.2773832980,0.5286762710,0.764162898,-0.700055301,1100,0.01307000,0.01522875,0.03497375,0.02588500,0.18291000,0.05755125,0.12003125,Deslizamiento,12.6017165
1_00000000000000000296,1,1717,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 19 13.662,-97 4 47.880,19.320462,-97.079967,Caliza-Doloma,Ixhuacn de los Reyes,0.3647851350,0.6768628360,0.862347543,-0.784594715,2094,0.01722250,0.02042625,0.03920875,0.02413875,0.32662500,0.06251500,0.15470875,Deslizamiento,37.10686785
1_000000000000000002c7,1,1931,Veracruz de Ignacio de la Llave,2015,Campo_2015,19 3 39.845,-97 7 11.064,19.061068,-97.11974,Caliza,Coscomatepec,0.2112903590,0.4709965290,0.691440821,-0.637695313,1790,0.03188000,0.03944250,0.08168250,0.06840000,0.36922250,0.13431750,0.24456500,Deslizamiento,9.638925098
1_0000000000000000000f,1,2125,Puebla,2015,Campo_2015,19 15 16.251,-97 10 3.622,19.254514,-97.167673,Andesita-Dacita,Chilchotla,0.1577549580,0.3999648990,0.664424658,-0.652181625,1383,0.02657250,0.03023000,0.06074125,0.05808750,0.30580750,0.12027875,0.20962625,Flujo,28.44092131
1_00000000000000000010,1,2056,Puebla,2015,Campo_2015,19 10 57.198,-97 6 49.411,19.182499,-97.113725,Toba andestica,Chichiquila,0.2932679950,0.5573758480,0.718661606,-0.678886414,1771,0.02217250,0.02565125,0.05421000,0.04556125,0.27172125,0.08177875,0.15069375,Flujo,28.15992589
1_00000000000000000013,1,2060,Puebla,2015,Campo_2015,19 9 35.475,-97 4 6.930,19.159826,-97.068592,Toba andestica,Chichiquila,0.1849581750,0.4316243830,0.573420763,-0.576249301,1979,0.02675125,0.03446500,0.06291375,0.06442625,0.23381250,0.10039625,0.17041125,Flujo,20.67128357
1_00000000000000000270,1,1744,Puebla,2015,Campo_2015,19 12 24.828,-97 4 11.904,19.2069,-97.069973,Caliza-Doloma,Chichiquila,0.2554263770,0.5149670240,0.647510350,-0.623687983,2215,0.02455125,0.03131625,0.06666750,0.06170375,0.28497625,0.09298500,0.17158000,Flujo,15.68198336
1_000000000000000002cb,1,2450,Puebla,2015,Campo_2015,19 14 14.396,-97 11 45.213,19.237259,-97.195892,Andesita-Dacita,Chilchotla,0.1808121350,0.4197265510,0.679063082,-0.640177727,893,0.02599500,0.02954250,0.04950750,0.04530000,0.21852250,0.09328750,0.16091000,Flujo,20.0937031
